ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
9360,1982.0,Graduation,Married,,0,0,08-08-2012,41,,2.0,,69,38,48,1,,2,5,8,0,0,0,0,0,0,3,11,0
5376,1979.0,Graduation,Married,2447.0,1,0,06-01-2013,42,1.0,,,1,1,1,15,,28,0,1,0,0,0,0,0,0,3,11,0
1993,1949.0,PhD,Married,58607.0,0,1,23-12-2012,63,,,86.0,0,0,19,3,,3,9,8,0,1,0,0,0,0,3,11,0
4047,,PhD,Married,,0,1,11-01-2014,0,,,102.0,21,32,5,3,6.0,2,9,4,0,0,0,0,0,0,3,11,0
1409,,Graduation,Together,40689.0,0,1,18-03-2013,69,,3.0,27.0,39,6,99,7,,1,5,8,0,0,0,0,0,0,3,11,0
7892,1969.0,Graduation,Single,,0,0,02-01-2013,89,6.0,4.0,25.0,15,12,13,2,2.0,1,3,7,0,0,0,0,0,0,3,11,0
2404,,Graduation,Married,53359.0,1,1,27-05-2013,4,173.0,4.0,,3,6,41,4,5.0,1,4,7,0,0,0,0,0,0,3,11,0
5255,1986.0,Graduation,Single,,1,0,20-02-2013,19,,,,3,263,362,0,27.0,0,0,1,0,0,0,0,0,0,3,11,0
9422,,Graduation,Married,38360.0,1,0,31-05-2013,26,,2.0,42.0,20,21,10,2,,1,4,3,0,0,0,0,0,0,3,11,0
1966,,PhD,Married,,0,0,22-11-2013,96,684.0,,801.0,21,66,0,1,,9,10,2,0,0,1,0,0,0,3,11,0
6864,,Master,Divorced,,0,0,22-05-2014,34,8.0,4.0,,2,2,4,2,,0,3,5,0,0,0,0,0,0,3,11,0
3033,1963.0,Master,Together,,0,0,11-05-2013,56,,,,34,22,89,1,2.0,5,3,3,0,0,0,0,0,0,3,11,0
5710,,Graduation,Together,,0,1,10-10-2012,31,,,5.0,2,0,3,2,,1,4,5,0,1,0,0,0,0,3,11,0
7373,,PhD,Divorced,46610.0,0,2,29-10-2012,8,96.0,,,33,22,43,6,,1,6,6,0,0,0,0,0,0,3,11,1
8755,,Master,Married,68657.0,0,0,20-02-2013,4,,,471.0,119,68,22,1,,5,9,7,0,0,0,0,0,0,3,11,0
10738,1951.0,Master,Single,49389.0,1,1,29-08-2013,55,40.0,,,2,1,3,1,,0,3,7,0,0,0,0,0,0,3,11,0
4339,,PhD,Married,67353.0,0,1,31-12-2013,37,,17.0,151.0,0,8,35,5,5.0,6,12,2,0,0,0,0,0,0,3,11,0
10755,1976.0,2n Cycle,Married,23718.0,1,0,02-09-2013,76,,,14.0,15,7,36,3,,1,2,7,0,0,0,0,0,0,3,11,0
8595,1973.0,Graduation,Widow,42429.0,0,1,11-02-2014,99,55.0,0.0,,2,0,4,2,,1,3,5,0,0,0,0,0,0,3,11,0
2968,1943.0,PhD,Divorced,,0,0,01-02-2013,53,437.0,8.0,,160,49,42,2,7.0,10,5,6,1,0,0,0,0,0,3,11,1
8601,1980.0,Graduation,Married,80011.0,0,1,29-04-2013,3,,76.0,536.0,82,178,102,2,,6,5,4,0,0,0,0,0,0,3,11,0
503,1985.0,Master,Married,,1,0,12-03-2013,88,,1.0,29.0,3,0,7,2,,0,3,8,0,0,0,0,0,0,3,11,0
8430,1957.0,Graduation,Together,21994.0,0,1,24-12-2012,4,,,6.0,3,1,3,1,0.0,0,3,5,0,0,0,0,0,0,3,11,0
7281,,PhD,Single,,0,0,05-11-2013,80,81.0,,,3,2,39,1,1.0,3,4,2,0,0,0,0,0,0,3,11,0
2139,,Master,Married,,1,0,02-10-2013,19,3.0,1.0,,3,2,12,3,2.0,0,3,5,0,0,0,0,0,0,3,11,0
1371,,Graduation,Single,,0,0,28-06-2014,72,,,,227,30,174,1,2.0,4,9,1,0,0,0,0,0,0,3,11,0
9909,,2n Cycle,Married,7500.0,0,0,09-11-2012,24,,18.0,,15,22,50,3,,1,3,9,0,0,0,0,0,0,3,11,1
7286,,Graduation,Together,41728.0,1,0,24-05-2013,92,13.0,,,3,5,13,1,,0,2,10,0,0,0,0,0,0,3,11,0
7244,1951.0,Graduation,Single,,2,1,01-01-2014,96,,5.0,48.0,6,10,7,3,,1,4,6,0,0,0,0,0,0,3,11,0
6566,1954.0,PhD,Married,,1,1,08-11-2012,39,826.0,,,50,38,38,9,,2,12,8,0,0,0,0,0,0,3,11,0
8614,,Graduation,Widow,65486.0,0,1,12-05-2014,29,,,,37,67,14,1,,2,10,2,0,0,0,0,0,0,3,11,0
4114,,Master,Married,,0,0,11-08-2012,2,,,,27,167,32,1,6.0,9,13,3,0,0,0,0,0,0,3,11,0
1331,,Graduation,Single,35790.0,1,0,02-01-2013,54,12.0,,20.0,30,1,3,2,,0,3,7,0,0,0,0,0,0,3,11,0
2225,,Graduation,Divorced,82582.0,0,0,07-06-2014,54,510.0,,,156,40,241,1,4.0,9,7,1,1,0,0,1,0,0,3,11,1
9381,,Graduation,Married,,1,1,12-06-2013,57,,9.0,,12,24,109,7,4.0,2,10,3,0,0,0,0,0,0,3,11,0
6260,,Master,Together,82384.0,0,0,19-11-2012,55,984.0,51.0,432.0,180,120,190,1,,10,13,1,0,0,1,0,0,0,3,11,1
10383,,Graduation,Divorced,,0,0,02-04-2013,30,,35.0,482.0,121,120,40,1,5.0,5,10,3,0,0,0,0,0,0,3,11,1
7437,1988.0,Graduation,Single,27938.0,1,0,28-04-2014,31,13.0,,,2,1,5,1,1.0,0,4,3,0,0,0,0,0,0,3,11,0
8557,1982.0,Graduation,Single,,1,0,17-06-2013,57,,3.0,,2,2,6,2,2.0,0,3,6,0,0,0,0,0,0,3,11,0
8375,1968.0,PhD,Married,,0,1,03-03-2014,63,,,28.0,0,0,43,3,8.0,2,6,7,0,0,0,0,0,0,3,11,0
6853,,Master,Single,75777.0,0,0,04-07-2013,12,,,538.0,69,13,80,1,,6,11,1,0,1,1,0,0,0,3,11,1
3076,,Graduation,Together,66653.0,1,1,07-09-2012,18,,18.0,,16,18,6,4,,2,12,3,0,0,0,0,0,0,3,11,0
1012,,Graduation,Single,61823.0,0,1,18-02-2013,26,,,134.0,37,14,169,4,8.0,2,10,7,0,0,0,0,0,0,3,11,0
6518,1951.0,PhD,Widow,,0,1,11-06-2013,8,546.0,0.0,48.0,0,6,6,1,,3,8,5,0,0,0,0,0,0,3,11,0
4137,,Graduation,Together,70666.0,0,0,06-12-2013,29,,,,119,122,30,1,,4,4,4,0,0,0,0,0,0,3,11,0
8082,1971.0,Graduation,Married,,1,0,21-05-2013,75,,3.0,,3,6,15,1,1.0,1,2,7,0,0,0,0,0,0,3,11,1
1386,1967.0,Graduation,Together,32474.0,1,1,11-05-2014,0,,,,0,0,0,1,,0,2,7,0,0,0,0,0,0,3,11,0
9369,1979.0,2n Cycle,Single,,0,1,19-03-2014,19,688.0,14.0,,201,24,38,1,11.0,10,10,5,1,0,0,1,0,0,3,11,1
4477,,Graduation,Together,69096.0,0,1,27-09-2013,4,,49.0,,7,82,109,1,5.0,2,10,4,0,0,0,0,0,0,3,11,0
1357,,Graduation,Together,,1,2,08-04-2013,90,856.0,59.0,487.0,58,29,73,7,2.0,5,5,5,0,0,0,0,0,0,3,11,0
1402,,Master,Married,,0,0,11-09-2012,1,496.0,36.0,460.0,189,60,12,3,,8,6,3,0,0,0,0,0,0,3,11,0
10629,,2n Cycle,Married,,1,0,14-09-2012,25,25.0,,43.0,17,4,17,3,3.0,0,3,8,0,0,0,0,0,0,3,11,0
6312,1959.0,Graduation,Married,,0,1,17-03-2013,29,,,291.0,84,37,86,4,,3,13,7,0,0,0,0,0,0,3,11,0
8132,,PhD,Married,,1,1,05-04-2013,88,565.0,6.0,65.0,0,6,19,5,9.0,2,8,7,0,1,0,0,0,0,3,11,0
1050,1952.0,Graduation,Married,28332.0,0,0,30-04-2014,58,,,,4,15,9,1,,1,4,2,0,0,0,0,0,0,3,11,0
5846,1977.0,Graduation,Divorced,40246.0,1,0,19-12-2012,68,2.0,,6.0,2,1,1,1,1.0,0,2,6,0,0,0,0,0,0,3,11,0
1859,1972.0,Master,Married,,0,0,27-08-2012,34,721.0,,925.0,97,18,18,1,7.0,6,5,5,0,0,0,0,0,0,3,11,1
7503,1976.0,Graduation,Single,75825.0,0,0,12-10-2012,40,,105.0,,137,105,51,0,,8,9,4,1,0,0,0,0,0,3,11,1
10401,1976.0,2n Cycle,Together,,0,0,04-09-2013,12,,,,0,3,9,1,,0,3,3,0,0,0,0,0,1,3,11,0
1618,,Graduation,Together,56046.0,0,0,02-01-2013,9,,0.0,,0,0,51,2,,1,8,8,1,0,0,0,0,0,3,11,1
3332,,Graduation,Single,29760.0,1,0,29-08-2012,87,,,,7,5,17,4,,1,4,8,0,0,0,0,0,0,3,11,0
2261,,Graduation,Married,,1,0,23-06-2013,5,4.0,1.0,5.0,2,0,4,1,1.0,0,2,7,0,0,0,0,0,0,3,11,0
5346,1973.0,2n Cycle,Married,23559.0,1,0,03-07-2013,87,25.0,,19.0,7,0,23,3,,0,3,7,0,0,0,0,0,0,3,11,0
4119,,Master,Together,,0,0,11-05-2013,56,,17.0,44.0,34,22,89,1,,5,3,3,0,0,0,0,0,0,3,11,0
535,,Graduation,Divorced,,0,0,25-02-2014,18,,23.0,424.0,27,65,76,1,,10,13,1,0,0,0,0,0,0,3,11,0
5268,,Graduation,Married,29440.0,1,1,11-08-2013,95,,8.0,14.0,10,4,3,2,1.0,0,4,7,0,0,0,0,0,0,3,11,0
273,1970.0,Master,Married,,1,1,16-07-2013,48,130.0,0.0,,0,0,5,5,,1,4,7,0,1,0,0,0,0,3,11,0
4452,1957.0,Graduation,Single,,0,1,28-05-2014,3,292.0,6.0,37.0,0,3,34,4,6.0,1,6,7,0,1,0,1,0,0,3,11,1
8504,1973.0,Graduation,Married,79593.0,0,0,12-05-2014,70,,,,110,133,145,1,,6,7,2,0,0,1,0,0,0,3,11,0
771,,Graduation,Together,54178.0,0,1,21-01-2014,79,135.0,9.0,,4,0,7,1,2.0,2,5,2,0,0,0,0,0,0,3,11,0
8996,,PhD,Married,,2,1,19-11-2012,4,230.0,,192.0,49,37,53,12,,2,8,9,0,0,0,0,0,0,3,11,0
9235,1957.0,Graduation,Single,,1,1,27-05-2014,45,,0.0,8.0,2,0,1,1,1.0,0,2,7,0,0,0,0,0,0,3,11,0
5798,1973.0,Master,Together,,0,0,23-11-2013,87,445.0,,359.0,98,28,18,1,2.0,4,8,1,0,0,0,0,0,0,3,11,0
11178,,Master,Single,42394.0,1,0,23-03-2014,69,,,10.0,0,1,4,1,,0,3,7,0,0,0,0,0,0,3,11,0
2230,1970.0,PhD,Married,23626.0,1,0,24-05-2014,84,,2.0,,0,0,0,3,3.0,1,3,5,0,0,0,0,0,0,3,11,0
7516,,Graduation,Married,30096.0,1,0,22-05-2014,30,5.0,,,12,5,9,1,2.0,0,3,6,0,0,0,0,0,0,3,11,0
7247,,Graduation,Widow,,0,1,22-11-2012,72,,0.0,,0,0,75,5,7.0,4,6,6,0,1,0,0,0,0,3,11,0
11100,1972.0,Graduation,Divorced,51813.0,1,1,11-04-2013,37,,,,0,1,2,2,2.0,0,3,7,0,0,0,0,0,0,3,11,0
4646,,2n Cycle,Married,78497.0,0,0,01-12-2013,44,207.0,26.0,447.0,75,0,223,1,5.0,7,12,2,0,0,0,1,0,0,3,11,0
3037,,PhD,Married,,0,0,20-06-2013,32,,,,65,61,11,2,,2,7,5,0,0,0,0,0,0,3,11,0
1473,1960.0,2n Cycle,Single,,0,1,23-07-2013,0,53.0,1.0,5.0,2,1,10,2,2.0,0,3,8,0,0,0,0,0,0,3,11,0
1016,,PhD,Single,,0,1,30-03-2014,43,,,,2,0,5,2,2.0,0,3,6,0,0,0,0,0,0,3,11,0
4518,1979.0,Graduation,Together,85693.0,0,1,20-04-2013,59,386.0,172.0,,185,132,111,2,,5,11,5,0,0,0,0,0,0,3,11,0
9370,1945.0,PhD,Married,65846.0,0,0,17-05-2013,68,562.0,,276.0,80,40,81,1,,3,6,4,0,0,0,0,0,0,3,11,0
8908,1959.0,Graduation,Married,87195.0,0,0,08-05-2014,35,217.0,76.0,690.0,50,26,38,1,3.0,11,5,1,0,0,0,0,0,0,3,11,1
8373,,Basic,Together,,1,0,10-12-2013,94,1.0,3.0,6.0,10,0,9,1,,0,3,5,0,0,0,0,0,0,3,11,0
7533,,Graduation,Married,49096.0,1,1,24-09-2013,15,144.0,,32.0,2,1,7,4,,1,4,7,0,0,0,0,0,0,3,11,0
2683,1969.0,Graduation,Married,,0,2,02-02-2013,56,295.0,,,75,98,65,4,6.0,4,12,6,0,0,0,0,0,0,3,11,0
3629,1978.0,Graduation,Single,38557.0,1,0,19-12-2012,17,76.0,3.0,31.0,4,4,27,2,,1,3,7,0,0,0,0,0,0,3,11,0
10991,,Master,Married,,0,0,07-12-2012,18,454.0,194.0,106.0,31,22,43,1,,4,4,2,0,0,0,0,0,0,3,11,0
5077,,Graduation,Together,77298.0,0,1,02-11-2013,46,425.0,,292.0,23,35,79,1,6.0,6,11,3,0,0,0,0,0,0,3,11,0
7431,1991.0,PhD,Single,,0,0,10-11-2012,40,,17.0,,23,51,86,1,,4,5,9,0,1,0,0,0,0,3,11,1
3267,1963.0,Master,Together,57288.0,0,1,25-06-2014,27,527.0,,,0,0,60,3,,1,8,6,0,1,0,0,0,0,3,11,0
999,,Graduation,Single,,0,0,02-01-2013,95,490.0,,,29,20,22,1,,7,11,3,0,1,1,0,0,0,3,11,1
9215,,PhD,Married,43974.0,1,0,12-12-2012,19,378.0,,,0,0,72,5,6.0,4,6,7,0,0,0,0,0,0,3,11,0
2286,1962.0,Graduation,Single,,1,1,10-09-2013,27,64.0,,,0,1,27,2,2.0,1,3,6,0,0,0,0,0,0,3,11,0
1592,,Graduation,Married,90765.0,0,0,24-01-2014,25,,99.0,,151,82,33,0,4.0,6,5,1,0,0,1,1,0,0,3,11,0
367,,2n Cycle,Married,36550.0,1,0,19-02-2013,74,,,94.0,123,103,120,5,,1,5,9,0,0,0,0,0,0,3,11,0
5234,1967.0,2n Cycle,Together,,1,1,11-07-2013,85,,5.0,,0,9,30,2,1.0,1,3,5,0,0,0,0,0,0,3,11,0
9862,,Graduation,Together,21918.0,1,0,14-11-2013,37,1.0,,,11,5,3,2,,0,3,6,0,0,0,0,0,0,3,11,0
9805,,Master,Together,,0,1,20-06-2013,65,320.0,,,39,72,48,4,6.0,2,10,4,0,0,0,0,0,0,3,11,0
6205,1967.0,Master,Single,,1,0,24-02-2014,13,34.0,3.0,29.0,0,4,10,3,2.0,1,3,5,0,0,0,0,0,0,3,11,1
8442,,Master,Married,19510.0,2,0,04-09-2013,63,,0.0,7.0,3,4,7,2,,0,3,7,0,0,0,0,0,0,3,11,0
7386,1976.0,Graduation,Divorced,,1,0,22-04-2013,83,,,14.0,7,3,2,1,,0,3,7,0,0,0,0,0,0,3,11,0
7215,1983.0,Graduation,Single,,0,0,12-03-2013,69,722.0,27.0,,44,72,168,0,6.0,8,13,2,0,1,1,1,0,0,3,11,1
1491,1965.0,2n Cycle,Together,71488.0,0,0,18-02-2013,87,,33.0,124.0,40,28,172,2,,4,7,1,0,0,0,0,0,0,3,11,0
11071,1984.0,Graduation,Single,79607.0,0,0,21-04-2013,37,,133.0,,173,0,216,1,,6,6,1,0,0,0,0,0,0,3,11,1
3381,1953.0,Master,Married,54348.0,1,1,08-06-2014,51,,0.0,16.0,0,0,4,2,,0,4,6,0,0,0,0,0,0,3,11,0
8268,1961.0,PhD,Married,,0,1,11-07-2013,23,352.0,0.0,,10,0,15,3,,1,7,6,0,0,0,0,0,0,3,11,0
11051,1956.0,PhD,Together,77376.0,1,1,10-05-2014,72,492.0,19.0,,16,12,12,4,,3,10,4,0,0,0,0,0,0,3,11,0
8026,1952.0,Graduation,Married,62998.0,0,1,30-09-2013,10,,,73.0,65,89,58,5,5.0,4,5,5,0,0,0,0,0,0,3,11,0
433,1958.0,Master,Alone,61331.0,1,1,10-03-2013,42,,,,0,5,41,5,11.0,1,6,8,0,0,0,0,0,0,3,11,0
9597,,Graduation,Married,73448.0,0,0,10-02-2014,10,,106.0,189.0,23,41,130,1,7.0,2,9,4,0,0,0,0,0,0,3,11,0
1295,1963.0,Graduation,Married,,0,1,11-08-2013,96,,,196.0,38,71,124,1,6.0,5,7,4,0,0,0,0,0,0,3,11,0
5290,,PhD,Married,,1,1,14-08-2013,51,220.0,0.0,,3,0,23,5,5.0,1,5,8,0,0,0,0,0,0,3,11,0
1685,1967.0,PhD,Together,,0,0,17-03-2013,21,796.0,,,38,44,0,1,,5,13,3,0,1,0,0,0,0,3,11,0
5342,1976.0,Basic,Divorced,,1,0,08-08-2012,31,0.0,,,10,6,9,2,1.0,0,3,8,0,0,0,0,0,0,3,11,0
9579,1959.0,PhD,Married,33762.0,2,1,07-07-2013,61,53.0,,34.0,2,0,16,3,,2,2,8,0,0,0,0,0,0,3,11,0
7660,1973.0,PhD,Alone,35860.0,1,1,19-05-2014,37,15.0,0.0,8.0,4,2,20,2,1.0,1,2,5,1,0,0,0,0,0,3,11,1
1461,,PhD,Divorced,36921.0,1,1,28-07-2013,74,17.0,1.0,,3,1,4,2,2.0,0,3,7,0,0,0,0,0,0,3,11,0
821,,Master,Single,92859.0,0,0,19-10-2012,46,962.0,,921.0,52,61,20,1,,4,12,2,0,0,0,0,0,0,3,11,0
11084,1976.0,Master,Together,,0,1,14-11-2013,4,,,232.0,13,20,50,2,,5,7,7,0,0,0,0,0,0,3,11,1
8690,1962.0,Graduation,Married,86111.0,0,0,19-04-2013,73,399.0,28.0,,36,40,126,1,,7,10,2,0,0,0,0,0,0,3,11,0
2937,,PhD,Single,68352.0,0,1,28-08-2013,47,614.0,16.0,132.0,43,33,33,3,,5,9,6,0,0,0,0,0,0,3,11,0
9701,,Graduation,Together,41883.0,1,0,19-03-2013,13,32.0,,41.0,73,16,116,3,4.0,2,3,7,0,0,0,0,0,0,3,11,0
9949,,Graduation,Married,59809.0,0,2,18-10-2012,36,598.0,,141.0,32,41,49,3,3.0,3,6,8,0,0,0,0,0,0,3,11,0
10837,,Graduation,Married,23957.0,1,0,28-10-2012,47,2.0,1.0,18.0,20,11,16,1,2.0,0,3,6,0,0,0,0,0,0,3,11,1
3120,1981.0,Graduation,Together,,1,0,28-08-2013,49,6.0,1.0,10.0,0,1,4,1,,0,2,8,0,0,0,0,0,1,3,11,0
5885,1973.0,2n Cycle,Married,,2,1,22-08-2012,94,73.0,3.0,90.0,12,1,32,7,4.0,1,4,8,0,0,0,0,0,0,3,11,0
4050,,Master,Married,49605.0,0,0,21-06-2014,65,42.0,,29.0,12,20,8,1,,1,4,3,0,0,0,0,0,0,3,11,0
3830,,Master,Married,,0,2,24-04-2014,59,,21.0,,39,13,13,1,,4,7,3,0,0,0,0,0,0,3,11,0
7987,,Graduation,Married,65747.0,0,1,07-03-2014,96,346.0,17.0,48.0,23,13,13,4,,1,6,6,0,1,0,0,0,0,3,11,0
7798,,2n Cycle,Together,46344.0,0,1,14-12-2012,28,,,,8,20,91,4,,1,5,7,0,0,0,0,0,0,3,11,0
92,1988.0,Graduation,Alone,34176.0,1,0,12-05-2014,12,,7.0,,19,14,20,4,,0,4,6,0,0,0,0,0,0,3,11,0
7055,,PhD,Together,61010.0,0,1,09-10-2012,57,888.0,0.0,,0,0,76,2,8.0,5,11,5,0,0,0,0,0,0,3,11,0
10240,1949.0,Graduation,Together,,0,0,19-02-2013,10,997.0,26.0,,34,13,42,1,,4,6,4,0,1,1,0,0,0,3,11,1
3025,,Graduation,Single,49967.0,0,1,08-07-2013,4,,6.0,69.0,4,12,3,3,6.0,1,5,7,0,0,0,0,0,0,3,11,0
9283,,Graduation,Single,60199.0,1,2,12-09-2013,49,,1.0,7.0,2,0,0,1,0.0,0,3,4,0,0,0,0,0,0,3,11,0
9970,1977.0,Graduation,Together,,0,1,17-10-2013,3,42.0,11.0,57.0,10,28,14,1,1.0,1,6,2,0,0,0,0,0,0,3,11,0
2730,1955.0,Graduation,Single,80317.0,0,0,20-08-2013,64,,,,149,91,57,1,3.0,4,10,1,0,0,0,0,0,0,3,11,0
2795,1958.0,Master,Single,30523.0,2,1,01-07-2013,0,5.0,,,0,0,5,1,,0,2,7,0,0,0,0,0,0,3,11,0
9260,1945.0,PhD,Married,70356.0,0,0,05-11-2012,20,1349.0,16.0,,43,16,33,2,10.0,6,9,6,0,0,0,0,0,0,3,11,0
8182,1984.0,Graduation,Married,,1,0,05-01-2014,91,53.0,3.0,,7,4,5,4,,0,4,8,0,0,0,0,0,0,3,11,0
10095,1975.0,PhD,Divorced,,0,0,01-05-2013,9,,,240.0,16,12,12,1,,4,10,2,0,0,0,0,0,0,3,11,0
8475,1973.0,PhD,Married,,0,1,01-03-2014,98,20.0,2.0,1582.0,1,2,1,15,0.0,22,0,0,0,0,0,0,0,0,3,11,0
4370,,Graduation,Together,43482.0,2,1,13-11-2013,83,18.0,,,6,3,28,3,2.0,0,4,6,0,0,0,0,0,0,3,11,0
10573,,Graduation,Divorced,62551.0,0,0,18-11-2013,27,,16.0,98.0,134,21,27,1,6.0,7,4,3,1,0,0,0,0,0,3,11,0
3712,,Graduation,Divorced,,0,0,28-08-2013,63,,5.0,33.0,7,0,2,1,,2,6,4,0,1,0,0,0,0,3,11,0
6637,1988.0,Graduation,Single,,0,0,02-11-2013,46,,,305.0,173,76,124,1,,4,7,1,0,0,0,0,0,0,3,11,0
3152,1957.0,Graduation,Together,26091.0,1,1,25-02-2014,84,15.0,,,8,17,20,3,2.0,1,3,5,0,0,0,0,0,0,3,11,0
5610,,Graduation,Together,,1,1,21-04-2014,58,7.0,3.0,,8,1,7,2,,0,3,7,0,0,0,0,0,0,3,11,0
6460,,Graduation,Married,28718.0,1,0,13-07-2013,78,,,,11,8,16,2,2.0,0,3,8,0,0,0,0,0,0,3,11,0
1349,1970.0,Graduation,Married,50447.0,2,0,21-04-2014,4,85.0,7.0,,2,3,27,1,,1,3,6,0,0,0,0,0,0,3,11,0
1880,1959.0,PhD,Together,,1,1,30-01-2014,17,,,,0,0,6,2,,1,3,5,0,0,0,0,0,0,3,11,0
641,,Graduation,Single,,0,1,04-04-2014,77,,,,0,0,48,1,2.0,2,2,4,1,0,0,0,0,0,3,11,0
8717,,PhD,Married,,0,1,12-09-2012,56,,,,69,71,26,1,11.0,8,8,5,0,0,0,0,0,0,3,11,0
10314,1948.0,PhD,Married,83837.0,0,0,16-12-2012,79,847.0,66.0,119.0,86,89,111,1,,10,5,4,0,1,0,1,0,0,3,11,1
10854,,PhD,Married,,1,1,23-05-2014,90,,0.0,14.0,0,0,2,2,,0,3,7,0,0,0,0,0,0,3,11,0
10492,1959.0,Graduation,Together,,2,1,24-06-2014,96,2.0,0.0,,2,0,1,1,0.0,0,3,2,0,0,0,0,0,0,3,11,0
6935,,2n Cycle,Married,,0,0,01-12-2013,44,,26.0,447.0,75,0,223,1,5.0,7,12,2,0,0,0,1,0,0,3,11,0
7698,,PhD,Married,51650.0,0,1,11-05-2014,81,152.0,3.0,,2,5,7,1,4.0,1,4,5,0,0,0,0,0,0,3,11,0
3559,,2n Cycle,Married,,1,0,10-05-2014,77,12.0,11.0,,3,12,9,3,,1,3,6,0,0,0,0,0,0,3,11,0
10562,1946.0,Master,Married,,0,0,28-09-2013,21,620.0,,,34,17,141,1,,4,13,2,0,0,0,0,0,0,3,11,0
10796,,Master,Married,30477.0,1,0,22-01-2014,16,47.0,1.0,6.0,0,0,12,1,,1,3,6,0,0,0,0,0,0,3,11,0
2563,,Basic,Married,,0,0,15-06-2014,80,1.0,9.0,,2,14,10,1,,0,3,6,0,0,0,0,0,0,3,11,0
3518,,Graduation,Married,,1,0,05-12-2012,45,,,18.0,10,4,7,1,1.0,1,2,9,0,0,0,0,0,0,3,11,0
5823,,PhD,Single,32303.0,0,1,08-03-2014,63,35.0,,2.0,0,0,2,2,1.0,0,4,5,0,0,0,0,0,0,3,11,0
3934,1966.0,Graduation,Married,,0,1,02-08-2013,34,356.0,,107.0,19,9,117,2,,1,8,5,0,0,0,0,0,0,3,11,0
